name,latitude,longitude,state,district,elevation_m
Guwahati,26.14,91.73,Assam,Kamrup Metropolitan,55
Shillong,25.57,91.88,Meghalaya,East Khasi Hills,1525
Gangtok,27.33,88.62,Sikkim,East Sikkim,1650
Itanagar,27.08,93.61,Arunachal Pradesh,Papum Pare,440
Imphal,24.82,93.95,Manipur,Imphal West,786
Aizawl,23.73,92.72,Mizoram,Aizawl,1132
Kohima,25.67,94.10,Nagaland,Kohima,1444
Agartala,23.83,91.28,Tripura,West Tripura,12
Tawang,27.58,91.86,Arunachal Pradesh,Tawang,2669
Bomdila,27.26,92.42,Arunachal Pradesh,West Kameng,2217
Pasighat,28.06,95.33,Arunachal Pradesh,East Siang,153
Ziro,27.53,93.83,Arunachal Pradesh,Lower Subansiri,1688
Dibrugarh,27.47,94.91,Assam,Dibrugarh,108
Tezpur,26.63,92.78,Assam,Sonitpur,48
Silchar,24.82,92.79,Assam,Cachar,22
Haflong,25.18,93.01,Assam,Dima Hasao,966
Jowai,25.45,92.20,Meghalaya,West Jaintia Hills,1380
Cherrapunji,25.27,91.73,Meghalaya,East Khasi Hills,1484
Tura,25.52,90.22,Meghalaya,West Garo Hills,349
Nongstoin,25.52,91.27,Meghalaya,West Khasi Hills,1409
Churachandpur,24.33,93.68,Manipur,Churachandpur,914
Ukhrul,25.12,94.37,Manipur,Ukhrul,2010
Senapati,25.27,94.02,Manipur,Senapati,1061
Champhai,23.47,93.33,Mizoram,Champhai,1678
Lunglei,22.88,92.73,Mizoram,Lunglei,1222
Serchhip,23.30,92.83,Mizoram,Serchhip,848
Mokokchung,26.33,94.53,Nagaland,Mokokchung,1325
Dimapur,25.90,93.73,Nagaland,Dimapur,260
Mon,26.75,95.10,Nagaland,Mon,897
Wokha,26.10,94.27,Nagaland,Wokha,1313
Namchi,27.17,88.35,Sikkim,South Sikkim,1315
Ravangla,27.30,88.36,Sikkim,South Sikkim,2100
Pelling,27.30,88.24,Sikkim,West Sikkim,2150
Mangan,27.50,88.53,Sikkim,North Sikkim,956
Dharmanagar,24.37,92.17,Tripura,North Tripura,21
Kailashahar,24.32,92.01,Tripura,Unakoti,29
Ambassa,23.92,91.85,Tripura,Dhalai,36
Udaipur-Tripura,23.53,91.48,Tripura,Gomati,22
Jorhat,26.75,94.22,Assam,Jorhat,116
Nagaon,26.33,92.68,Assam,Nagaon,60
Nalbari,26.43,91.43,Assam,Nalbari,42
Bongaigaon,26.47,90.56,Assam,Bongaigaon,54
Goalpara,26.17,90.62,Assam,Goalpara,35
Diphu,25.83,93.42,Assam,Karbi Anglong,186
North Lakhimpur,27.23,94.10,Assam,Lakhimpur,101
Doom Dooma,27.57,95.57,Assam,Tinsukia,114
Lumding,25.75,93.17,Assam,Hojai,125
Dima Hasao,25.18,93.01,Assam,Dima Hasao,966
