latitude,longitude,event_date
26.20450454,91.87202793,2017-07-03
26.22247247,91.92053028,2017-07-03
26.1061808,91.85158907,2017-07-03
26.10430759,91.86227824,2017-07-03
25.907233,91.881892,2017-05-26
26.10035658,91.87351723,2017-07-03
26.14547804,91.79364785,2017-07-10
25.8833,91.2,2010-06-09
25.5728,91.885,2010-06-28
25.9703,91.8584,2015-09-06
25.5145,90.2023,2015-08-18
25.38,91.88,2007-07-26
26.1548,91.7351,2011-09-23
26.09748244,91.8744337,2016-07-19
25.1622,92.0104,2016-02-25
26.149,91.7351,2012-06-20
26.1475,91.7356,2012-06-02
26.1985,91.7998,2014-09-22
25.203,90.5573,2016-07-19
26.1314,91.7548,2014-09-22
26.1666,91.7042,2015-09-23
25.0821,91.7783,2015-11-16
25.1472,91.7483,2015-02-22
26.1407,91.7645,2014-06-26
25.5114,90.215,2015-06-16
25.9611,91.3681,2016-07-07
26.1978,91.7665,2010-04-20
26.19037705,91.77306002,2017-07-10
25.463,92.2121,2015-06-13
26.1062,91.8717,2015-07-25
25.5006,90.0896,2014-10-20
26.1662,91.7138,2013-05-11
26.1324,91.8342,2014-09-22
25.2568,92.3825,2015-08-19
26.1295,91.7056,2014-09-22
26.1963,91.8074,2016-07-14
26.159,91.8178,2014-09-22
26.1868,91.6739,2015-09-01
25.4916,91.2698,2010-06-28
26.1619,91.7697,2014-06-27
25.0951,92.3567,2012-06-13
25.5576,91.8506,2007-08-26
25.5772,91.8666,2014-09-23
25.5498,92.0757,2012-06-13
25.7238,89.9032,2014-09-23
26.1844,91.7896,2014-06-26
26.10973183,91.80317334,2017-07-06
25.1416,92.3807,2015-08-19
26.1961,91.7825,2016-06-22
25.0728,92.3636,2015-08-19
26.1044,91.7082,2014-09-22
26.1771,91.7599,2013-05-11
26.1226,91.7162,2012-06-22
25.583,91.893,2015-09-23
26.1768,91.7702,2016-07-14
25.3433,92.2897,2010-05-11
26.1016,91.6906,2013-05-11
26.1965,91.763,2010-04-20
26.1028,91.8806,2015-08-22
25.0318,92.4584,2015-03-19
26.1049,91.7369,2012-06-25
26.1309,91.8383,2013-10-06
26.048,91.8695,2015-09-05
25.5084,90.2191,2015-06-16
25.2193,90.5549,2015-08-19
25.5144,90.2167,2011-08-16
25.52,91.27,2007-09-11
26.1964,91.7652,2014-06-28
26.1833,91.8,2007-09-13
25.9702,91.8587,2014-10-05
25.5212,90.232,2007-07-27
26.1665,91.7049,2013-10-06
26.1468,91.6469,2015-02-14
25.3612,92.2845,2010-04-21
25.7354,90.3852,2014-09-21
25.8143,90.5763,2014-09-24
26.1966,91.802,2016-07-20
26.1097,91.7747,2014-09-22
26.1001,91.6849,2014-09-22
26.1699,91.7986,2007-07-19
25.178619,92.012806,2017-03-16
25.82601444,91.87113067,2017-07-09
26.191688,91.810079,2016-12-15
25.43807422,91.79904872,2017-06-17
25.51826286,91.9630294,2017-02-15
26.16066111,91.85294885,2017-04-05
25.092576,91.763689,2017-03-06
25.67836832,91.9234343,2017-06-17
25.167803,92.019575,2017-03-08
25.08734272,91.75063827,2017-01-23
25.82860033,91.876717,2017-07-06
25.61919207,92.7094701,2017-04-29
26.181606,91.772042,2016-12-15
