cum_1d,cum_3d,cum_7d,cum_15d,duration_days,storm_intensity_mm_day,latitude,longitude,label
66.9,146.9,216.3,344.5,15,22.966666666666665,26.20450454,91.87202793,1
56.7,142.0,202.0,327.9,15,21.86,26.22247247,91.92053028,1
83.0,156.6,234.7,361.0,15,24.066666666666666,26.1061808,91.85158907,1
83.0,156.6,234.7,361.0,15,24.066666666666666,26.10430759,91.86227824,1
8.7,18.3,63.099999999999994,124.5,15,8.3,25.907233,91.881892,1
83.0,156.6,234.7,361.0,15,24.066666666666666,26.10035658,91.87351723,1
27.3,57.0,147.1,396.9,15,26.459999999999997,26.14547804,91.79364785,1
34.9,54.1,173.6,261.1,15,17.40666666666667,25.8833,91.2,1
68.2,179.4,320.0,503.6,15,33.57333333333334,25.5728,91.885,1
7.7,53.6,463.9,671.4,15,44.76,25.9703,91.8584,1
50.3,87.1,132.1,188.0,15,12.533333333333333,25.5145,90.2023,1
72.1,203.5,342.7,593.6999999999999,15,39.58,25.38,91.88,1
12.4,69.4,130.20000000000002,301.1,15,20.073333333333334,26.1548,91.7351,1
34.5,108.6,208.7,412.7,15,27.513333333333332,26.09748244,91.8744337,1
17.2,23.0,33.6,41.5,2,11.5,25.1622,92.0104,1
46.1,90.4,151.5,217.4,15,14.493333333333334,26.149,91.7351,1
19.2,60.8,95.0,141.6,12,10.141666666666667,26.1475,91.7356,1
55.8,142.1,178.3,248.3,5,33.72,26.1985,91.7998,1
16.6,97.0,168.9,258.2,15,17.21333333333333,25.203,90.5573,1
55.8,142.1,178.3,248.3,5,33.72,26.1314,91.7548,1
30.3,76.6,180.1,307.9,5,35.56,26.1666,91.7042,1
0.0,0.0,0.0,0.2,1,0.0,25.0821,91.7783,1
5.1,5.699999999999999,12.4,12.9,1,5.1,25.1472,91.7483,1
27.8,36.6,216.0,285.6,15,19.040000000000003,26.1407,91.7645,1
24.4,57.199999999999996,299.3,373.40000000000003,15,24.893333333333334,25.5114,90.215,1
27.2,171.9,412.3,564.8000000000001,15,37.653333333333336,25.9611,91.3681,1
50.4,105.5,182.6,190.6,7,26.085714285714285,26.1978,91.7665,1
30.6,86.7,181.6,416.3,15,27.753333333333334,26.19037705,91.77306002,1
40.2,310.6,420.5,504.1,15,33.60666666666667,25.463,92.2121,1
1.3,94.0,302.6,396.0,8,39.725,26.1062,91.8717,1
0.2,0.5,11.4,31.8,1,0.2,25.5006,90.0896,1
21.7,51.599999999999994,75.6,196.9,15,13.126666666666667,26.1662,91.7138,1
55.8,142.1,178.3,248.3,5,33.72,26.1324,91.8342,1
51.9,144.6,229.8,283.6,15,18.90666666666667,25.2568,92.3825,1
55.8,142.1,178.3,248.3,5,33.72,26.1295,91.7056,1
10.0,34.4,134.6,345.0,15,23.0,26.1963,91.8074,1
55.8,142.1,178.3,248.3,5,33.72,26.159,91.8178,1
35.3,132.0,241.0,437.9,15,29.19333333333333,26.1868,91.6739,1
95.7,273.6,380.09999999999997,540.8,15,36.05333333333333,25.4916,91.2698,1
7.1,38.6,168.4,284.5,15,18.966666666666665,26.1619,91.7697,1
12.8,46.6,147.4,544.3,15,36.28666666666666,25.0951,92.3567,1
10.0,23.6,55.2,319.5,15,21.3,25.5576,91.8506,1
125.6,276.1,365.2,425.7,15,28.38,25.5772,91.8666,1
12.2,32.6,83.8,331.0,15,22.066666666666666,25.5498,92.0757,1
7.1,64.5,105.6,143.1,6,17.599999999999998,25.7238,89.9032,1
27.8,36.6,216.0,285.6,15,19.040000000000003,26.1844,91.7896,1
28.1,87.9,276.1,415.0,15,27.666666666666668,26.10973183,91.80317334,1
51.9,144.6,229.8,283.6,15,18.90666666666667,25.1416,92.3807,1
11.7,18.7,127.7,243.3,15,16.220000000000002,26.1961,91.7825,1
66.6,180.39999999999998,312.7,366.59999999999997,15,24.439999999999998,25.0728,92.3636,1
37.1,140.8,171.8,265.1,5,33.9,26.1044,91.7082,1
21.7,51.599999999999994,75.6,196.9,15,13.126666666666667,26.1771,91.7599,1
53.8,185.9,242.1,258.3,11,23.30909090909091,26.1226,91.7162,1
50.4,157.3,217.7,257.5,15,17.166666666666668,25.583,91.893,1
10.0,34.4,134.6,345.0,15,23.0,26.1768,91.7702,1
37.2,152.0,166.0,201.0,4,40.975,25.3433,92.2897,1
29.0,39.2,73.1,108.2,15,7.213333333333334,26.1016,91.6906,1
50.4,105.5,182.6,190.6,7,26.085714285714285,26.1965,91.763,1
28.2,134.9,290.2,409.59999999999997,15,27.306666666666665,26.1028,91.8806,1
0.0,0.0,0.1,0.1,1,0.0,25.0318,92.4584,1
36.9,168.39999999999998,380.59999999999997,425.5,14,30.342857142857145,26.1049,91.7369,1
24.5,47.5,65.6,134.7,4,15.7,26.1309,91.8383,1
3.5,100.19999999999999,465.3,688.0,15,45.86666666666667,26.048,91.8695,1
24.4,57.199999999999996,299.3,373.40000000000003,15,24.893333333333334,25.5084,90.2191,1
